default,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,0.03479259,N,Low,31-Jan-18
0,10,-1.360383125,0.066157442,-0.227743901,-0.096194976,0.647261887,1,1,10,,N,High,29-Feb-20
0,3,-1.360383125,0.066157442,-0.227743901,-0.096194976,-0.504304906,1,1,10,0.525312203,N,Low,31-Jan-18
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,0.307791215,N,High,29-Feb-20
1,0,1.867784437,-0.290540296,-0.227743901,-0.096194976,0.259899026,0,1,10,0.49435903,N,,29-Feb-20
1,1,-0.351837351,-0.290540296,-0.227743901,-0.096194976,0.647261887,1,1,10,,Y,Low,29-Feb-20
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,0.027419047,N,Low,5-Mar-19
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.647261887,0,2,10,0.531338271,Y,Low,31-Jan-18
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,-0.900150976,0,2,10,,Y,Low,5-Mar-19
1,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.230768773,0,1,10,0.269291143,N,High,5-Mar-19
0,9,-1.360383125,0.066157442,-0.227743901,-0.096194976,0.647261887,1,1,10,0.258383516,N,Low,5-Mar-19
